Feature	GO
XP_003386131.1	GO:0004672; GO:0005524; GO:0006468; GO:0005515
XP_011403951.1	GO:0016021; GO:0055085
XP_019848654.1	GO:0003676; GO:0000398
XP_003386962.1	GO:0005840; GO:0006414; GO:0005622; GO:0003735
XP_019854081.1	GO:0007165; GO:0005515
XP_019857527.1	GO:0005515
XP_011408328.2	GO:0003676
XP_011408383.2	GO:0055114; GO:0016616
XP_011402688.2	GO:0008083
XP_003391631.2	GO:0004222; GO:0016020; GO:0006508; GO:0005524
XP_003384812.1	GO:0046294; GO:0018738
XP_011402947.1	GO:0008270; GO:0005622
XP_019849485.1	GO:0003677; GO:0003916; GO:0003917; GO:0006265
XP_003391508.1	GO:0009055; GO:0051536; GO:0051537
XP_019857057.1	GO:0004842
XP_011407842.1	GO:0016887; GO:0005524
XP_011403663.1	GO:0005515; GO:0007165; GO:0008270; GO:0042981
XP_011403775.2	GO:0005488
XP_019850548.1	GO:0005509
XP_019855418.1	GO:0005085; GO:0007264
XP_019859955.1	GO:0005515
XP_019853638.1	GO:0055114; GO:0016491
XP_003384672.3	GO:0003676; GO:0046872; GO:0005515
XP_003384832.1	GO:0032259; GO:0008168; GO:0003676
XP_003385302.1	GO:0035556; GO:0045454; GO:0009055; GO:0015035
XP_011403298.1	GO:0046983
XP_011410326.1	GO:0005515
XP_011409005.1	GO:0046983
YP_001031210.1	GO:0055114; GO:0008137; GO:0016651
XP_003391596.1	GO:0006355
XP_019858564.1	GO:0005515
XP_019855312.1	GO:0016787; GO:0004767; GO:0006685
XP_019859150.1	GO:0016773; GO:1901135; GO:0097367
XP_019861558.1	GO:0005515
XP_011406598.1	GO:0008017; GO:0005515
XP_003391123.2	GO:0000077; GO:0005634
XP_019856857.1	GO:0005515
XP_011406026.2	GO:0005044; GO:0016020
XP_003387061.1	GO:0001104; GO:0006357; GO:0016592
XP_019857930.1	GO:0005515
XP_019850036.1	GO:0005044; GO:0016020
XP_011407509.2	GO:0005515
XP_019852187.1	GO:0005488; GO:0005515
XP_003383462.2	GO:0016788; GO:0006629
XP_019862119.1	GO:0005515
XP_019862884.1	GO:0005515
XP_003382521.1	GO:0016021
XP_019854969.1	GO:0005096
XP_019851597.1	GO:0005515; GO:0008270
XP_019849953.1	GO:0016020; GO:0070588; GO:0005262
XP_019858873.1	GO:0046872
XP_011406866.1	GO:0016787
XP_003385963.2	GO:0005515
XP_019848653.1	GO:0005515
XP_003384337.1	GO:0000166; GO:0004826; GO:0006432; GO:0005737; GO:0003723; GO:0005524; GO:0000287
XP_011409390.1	GO:0006468; GO:0004674; GO:0005524
XP_011410366.1	GO:0009252; GO:0009058; GO:0008763; GO:0005524; GO:0016874
XP_003385256.1	GO:0008168; GO:0008152
XP_003385470.2	GO:0003676
XP_003391044.2	GO:0004767; GO:0006685; GO:0016787
XP_019855227.1	GO:0007165
XP_003391526.2	GO:0016765
XP_019852553.1	GO:0016705; GO:0020037; GO:0005506; GO:0055114; GO:0004497
XP_011405691.1	GO:0016192; GO:0016020
XP_003384745.1	GO:0005525; GO:0016020; GO:0007165; GO:0003924
XP_003385613.1	GO:0016746; GO:0008152
XP_003384600.1	GO:0005783; GO:0045454; GO:0016853
XP_003390617.2	GO:0010826; GO:0036038; GO:0060271
XP_019851765.1	GO:0031418; GO:0016705; GO:0016491; GO:0005506; GO:0055114
XP_011407249.2	GO:0005515
XP_019864270.1	GO:0005509; GO:0005515
XP_019860164.1	GO:0016020; GO:0005044
XP_003387948.1	GO:0008270; GO:0003676
XP_003391641.1	GO:0003676; GO:0006310; GO:0008026; GO:0005524
XP_019861093.1	GO:0036459; GO:0006511
XP_011403032.1	GO:0016559; GO:0005779
XP_003384162.1	GO:0016787
XP_019856642.1	GO:0005044; GO:0016020
XP_019861512.1	GO:0005515
XP_019852355.1	GO:0004252; GO:0006508
XP_011410381.1	GO:0005509
XP_019850059.1	GO:0005515
XP_019861264.1	GO:0006468; GO:0005515; GO:0004672; GO:0005524
XP_019853176.1	GO:0003677; GO:0003676; GO:0006355
XP_003389373.2	GO:0003824; GO:0050662
XP_003386961.1	GO:0004647; GO:0006564
XP_019856992.1	GO:0005515
XP_003382638.1	GO:0006355
XP_003388584.1	GO:0009072; GO:0003824; GO:0004334; GO:0008152
XP_019850212.1	GO:0008017; GO:0005515
XP_019855085.1	GO:0016020; GO:0004930
XP_019863318.1	GO:0005524; GO:0004672; GO:0004713; GO:0006468
XP_003390401.1	GO:0005737; GO:0005524; GO:0016787; GO:0030163
XP_011407405.1	GO:0006468; GO:0004672; GO:0005524
XP_019853579.1	GO:0004588; GO:0006207; GO:0003824; GO:0008152; GO:0006221; GO:0044205; GO:0004590; GO:0009116
XP_011408484.1	GO:0016787
XP_011409268.2	GO:0007155; GO:0005886; GO:0005509; GO:0007156; GO:0016020
XP_019863473.1	GO:0007165
XP_019857245.1	GO:0004672; GO:0006468; GO:0005488; GO:0005524; GO:0005515
XP_003388325.1	GO:0005515
XP_003384838.1	GO:0016747
XP_003391334.1	GO:0016887; GO:0005524
XP_019858567.1	GO:0003677; GO:0006355; GO:0005524; GO:0003700; GO:0005634
XP_011402517.1	GO:0005739; GO:0016226; GO:0008199; GO:0055114; GO:0004322
XP_019848914.1	GO:0006413; GO:0003723; GO:0005737; GO:0003743
XP_003386833.1	GO:0003676; GO:0015074
XP_019859255.1	GO:0004672; GO:0004713; GO:0016020; GO:0006468; GO:0007169; GO:0005524; GO:0004714
XP_019852730.1	GO:0016592
XP_011402773.1	GO:0005515
XP_003391338.1	GO:0016491; GO:0008121; GO:0055114; GO:0016020; GO:0051537
XP_003386686.2	GO:0008378; GO:0016020; GO:0006486
XP_019855712.1	GO:0006303; GO:0042162; GO:0005634; GO:0000723; GO:0003677; GO:0043564; GO:0004003; GO:0003684
XP_011406378.2	GO:0016757
XP_003385864.1	GO:0008152; GO:0008484; GO:0003824; GO:0004423
XP_003385899.3	GO:0005515
XP_019859682.1	GO:0005515
XP_003385201.1	GO:0008017; GO:0005515
XP_019855965.1	GO:0008152; GO:0006629; GO:0005515
XP_011410445.2	GO:0008270; GO:0005515
XP_019852655.1	GO:0005525
XP_019850973.1	GO:0006468; GO:0004674; GO:0007165; GO:0004672; GO:0017049; GO:0005524
XP_019857311.1	GO:0004672; GO:0006468; GO:0005524
XP_019856059.1	GO:0005515
XP_019856796.1	GO:0030234; GO:0005509
XP_019852131.1	GO:0004807; GO:0003824; GO:0006096; GO:0008152
XP_003391331.2	GO:0016813; GO:0046872
XP_019858004.1	GO:0005488
XP_019848685.1	GO:0005515
XP_003388635.1	GO:0005515; GO:0007165
XP_011403237.1	GO:0005509
XP_019849873.1	GO:0006013; GO:0005975; GO:0004559; GO:0003824
XP_019854636.1	GO:0008237; GO:0004222
XP_019862868.1	GO:0016021
XP_019855692.1	GO:0006269; GO:0003896; GO:0016779
XP_019857854.1	GO:0045905; GO:0045901; GO:0043022; GO:0003746; GO:0006452; GO:0003723
XP_019849744.1	GO:0005856; GO:0005515
XP_003385949.1	GO:0043565; GO:0003677
XP_019863927.1	GO:0005515
XP_003383939.1	GO:0008318; GO:0018342
XP_003390666.1	GO:0005515
XP_011406512.2	GO:0016887; GO:0042626; GO:0055085; GO:0005524; GO:0016021
XP_019848939.1	GO:0005044; GO:0016020
XP_003383891.1	GO:0005515
XP_019856100.1	GO:0003676; GO:0005524
XP_019860717.1	GO:0005509
XP_019862310.1	GO:0003824
XP_003385452.1	GO:0007165; GO:0035556
XP_003390730.1	GO:0005524; GO:0003676
XP_003383477.1	GO:0019888; GO:0000159; GO:0005515
XP_019855013.1	GO:0005525; GO:0003924
XP_019857973.1	GO:0005044; GO:0016020
XP_019857220.1	GO:0006511; GO:0016579; GO:0036459
XP_011409157.2	GO:0034464
XP_003387081.1	GO:0004672; GO:0006468; GO:0005524
XP_003384645.1	GO:0055085; GO:0016020; GO:0005215; GO:0015379; GO:0016021; GO:0006811; GO:0015377
XP_019850242.1	GO:0016020; GO:0005044
XP_019863844.1	GO:0005515
XP_011409824.1	GO:0004402; GO:0005634; GO:0005515; GO:0006355
XP_003383404.1	GO:0016021; GO:0016757
XP_019858980.1	GO:0005515; GO:0003677
XP_019858706.1	GO:0005515
XP_003385769.1	GO:0005488
XP_019861799.1	GO:0006397
XP_019849919.1	GO:0005524
XP_019851169.1	GO:0008270; GO:0006508; GO:0004181
XP_003386133.1	GO:0051090; GO:0006352; GO:0046982; GO:0005488; GO:0005634
XP_019857811.1	GO:0003677; GO:0006260
XP_019852564.1	GO:0005515; GO:0007165
XP_019850903.1	GO:0005515; GO:0008270
XP_019854831.1	GO:0005515
XP_011402660.2	GO:0006468; GO:0004672; GO:0005515; GO:0005524
XP_019855195.1	GO:0005515
XP_019853813.1	GO:0008237; GO:0004222
XP_011404718.1	GO:0016021
XP_019861308.1	GO:0007165; GO:0005515
XP_019856123.1	GO:0003700; GO:0008270; GO:0003676; GO:0006355
XP_003391442.1	GO:0008152; GO:0003824
XP_019864066.1	GO:0005515
XP_019860613.1	GO:0009116; GO:0003824
XP_011407546.2	GO:0008237; GO:0004222
XP_019848775.1	GO:0005515
XP_019854280.1	GO:0030286; GO:0003777; GO:0005509; GO:0005524; GO:0007018
XP_019858462.1	GO:0005515; GO:0007165
XP_011406852.1	GO:0016020; GO:0055085
XP_019858509.1	GO:0008270; GO:0003676
XP_003388899.1	GO:0006807
XP_019858756.1	GO:0005515
