Feature	GO
gene:AACS|protein_id:NP_076417.2	GO:0006629; GO:0003824; GO:0030729
gene:MAML3|protein_id:NP_061187.3	GO:0007219; GO:0016607; GO:0045944; GO:0003713
gene:OR1N1|protein_id:NP_036495.1	GO:0007186; GO:0004984; GO:0016021; GO:0004930
gene:PABPC4L|protein_id:NP_001108206.3	GO:0003723; GO:0003676
gene:MYBPH|protein_id:NP_004988.2	GO:0005515
gene:DPP4|protein_id:NP_001926.2	GO:0006508; GO:0004252; GO:0008236
gene:TBC1D4|protein_id:NP_055647.2	GO:0005515
gene:HNMT|protein_id:NP_008826.1	GO:0008170
gene:USP17L3|protein_id:NP_001243800.1	GO:0006511; GO:0016579; GO:0036459
gene:U2AF1|protein_id:NP_001020374.1	GO:0000398; GO:0003723; GO:0089701; GO:0003676; GO:0046872
gene:CHRNA3|protein_id:NP_000734.2	GO:0005216; GO:0004888; GO:0034220; GO:0045211; GO:0006811; GO:0005230; GO:0016021; GO:0022848
gene:NTMT1|protein_id:NP_001273725.1	GO:0006480; GO:0008168
gene:EHHADH|protein_id:NP_001957.2	GO:0006631; GO:0016491; GO:0003857; GO:0055114; GO:0003824
gene:GNG8|protein_id:XP_011525826.1	GO:0003924; GO:0005834; GO:0007186
gene:COX6A2|protein_id:NP_005196.1	GO:0004129; GO:0005751; GO:0005743
gene:GPR176|protein_id:NP_009154.1	GO:0004930; GO:0016021; GO:0007186
gene:ADH5|protein_id:NP_000662.3	GO:0006069; GO:0055114; GO:0051903; GO:0008270; GO:0016491
gene:SEC24C|protein_id:XP_011538682.1	GO:0030127; GO:0008270; GO:0006888; GO:0006886
gene:GCDH|protein_id:XP_011526201.1	GO:0016627; GO:0003995; GO:0050660; GO:0055114
gene:ZNF561|protein_id:XP_024307548.1	GO:0006355; GO:0003676
gene:TRIM48|protein_id:NP_077019.2	GO:0008270
gene:ATAD2B|protein_id:XP_011531220.1	GO:0005515; GO:0005524
gene:CCL4L1|protein_id:NP_996890.1	GO:0006955; GO:0005576; GO:0008009
gene:ACOT8|protein_id:NP_005460.2	GO:0047617; GO:0006637
gene:BBS5|protein_id:NP_689597.1	GO:0034464
gene:POLR2J2|protein_id:NP_116581.3	GO:0005665; GO:0046983; GO:0001055; GO:0003899; GO:0006366; GO:0006351; GO:0003677
gene:ZNF468|protein_id:XP_016882932.1	GO:0006355; GO:0003676
gene:CPTP|protein_id:NP_001025056.1	GO:0120009; GO:0120013; GO:0005737
gene:CBL|protein_id:NP_005179.2	GO:0001784; GO:0005509; GO:0007166; GO:0005515
gene:SNAI2|protein_id:NP_003059.1	GO:0003676
gene:SULT1A4|protein_id:NP_001017390.1	GO:0008146
gene:PRAM1|protein_id:XP_011526654.1	GO:0005515
gene:CAPN13|protein_id:NP_653176.2	GO:0004198; GO:0006508
gene:HPD|protein_id:NP_002141.2	GO:0009072; GO:0016701; GO:0055114; GO:0003868
gene:TMEM178A|protein_id:NP_689603.2	GO:0016021
gene:DRGX|protein_id:XP_011538391.1	GO:0003677
gene:MTAP|protein_id:NP_002442.2	GO:0016763; GO:0003824; GO:0009116; GO:0017061
gene:OR10AD1|protein_id:NP_001004134.1	GO:0016021; GO:0004930; GO:0004984; GO:0007186
gene:BRIP1|protein_id:XP_011523634.1	GO:0003677; GO:0006139; GO:0004386; GO:0005524; GO:0003676; GO:0016818; GO:0003678
gene:MBTPS2|protein_id:NP_056968.1	GO:0004222; GO:0005515; GO:0006508; GO:0016020
gene:TTC29|protein_id:NP_001287690.1	GO:0005515
gene:TSPYL1|protein_id:NP_003300.1	GO:0006334; GO:0005634
gene:YY1|protein_id:NP_003394.1	GO:0003676
gene:TRPV2|protein_id:NP_057197.2	GO:0005515; GO:0005216; GO:0016020; GO:0006811; GO:0016021; GO:0055085
gene:SH3RF1|protein_id:NP_065921.2	GO:0005515; GO:0046872
gene:GEMIN6|protein_id:NP_079051.9	GO:0005634; GO:0000245
gene:NPW|protein_id:NP_001092926.2	GO:0001664
gene:KBTBD11|protein_id:NP_055682.1	GO:0005515
gene:HSD3B7|protein_id:NP_079469.2	GO:0003854; GO:0055114; GO:0016616; GO:0006694
gene:AGO2|protein_id:XP_011515270.2	GO:0031047; GO:0003676; GO:0006355; GO:0070551; GO:0005515; GO:0016442
gene:H4C11|protein_id:NP_068803.1	GO:0000786; GO:0003677; GO:0005634; GO:0046982; GO:0006352
gene:DHX29|protein_id:NP_061903.2	GO:0006413; GO:0004386; GO:0005524; GO:0003676; GO:0003724
gene:MYH9|protein_id:NP_002464.1	GO:0016459; GO:0051015; GO:0005524; GO:0003774; GO:0005515
gene:HOXC10|protein_id:NP_059105.2	GO:0043565; GO:0006355; GO:0003677
gene:FOXQ1|protein_id:NP_150285.3	GO:0006355; GO:0003700; GO:0043565
gene:CELA2A|protein_id:NP_254275.1	GO:0004252; GO:0006508
gene:SCRT1|protein_id:NP_112599.2	GO:0003676
gene:TTC21B|protein_id:NP_079029.3	GO:0005515
gene:TNFSF15|protein_id:NP_005109.2	GO:0005515; GO:0005164; GO:0016020; GO:0006955
gene:CDKN3|protein_id:NP_005183.2	GO:0016311; GO:0004725; GO:0016791; GO:0004721
gene:NABP2|protein_id:XP_005269203.1	GO:0003676
gene:WRB-SH3BGR|protein_id:NP_001304673.1	GO:0071816
gene:ISX|protein_id:NP_001290437.1	GO:0003677; GO:0043565; GO:0006355
gene:MYL6B|protein_id:NP_001186558.1	GO:0005509
gene:HINT1|protein_id:NP_005331.1	GO:0003824
gene:CASP6|protein_id:NP_001217.2	GO:0006508; GO:0008234; GO:0004197
gene:IL15|protein_id:NP_000576.1	GO:0005576; GO:0005126; GO:0006955
gene:POLN|protein_id:NP_861524.2	GO:0003677; GO:0003887; GO:0006261; GO:0003676; GO:0006260
gene:KRTAP1-3|protein_id:NP_112228.1	GO:0045095
gene:SAMD9L|protein_id:NP_001290425.1	GO:0005515
gene:ITGA1|protein_id:NP_852478.1	GO:0008305; GO:0007155
gene:ENPEP|protein_id:NP_001968.3	GO:0006508; GO:0008237; GO:0008270
gene:TSEN34|protein_id:NP_001269262.1	GO:0006388; GO:0000214; GO:0000379; GO:0000213; GO:0003676; GO:0004518
gene:DCAKD|protein_id:NP_001122103.1	GO:0015937; GO:0004140; GO:0005524
gene:MAP7D1|protein_id:NP_060537.3	GO:0015630; GO:0000226
gene:PEX6|protein_id:NP_000278.3	GO:0005524
gene:RTN4R|protein_id:NP_075380.1	GO:0005515
gene:KCNN4|protein_id:NP_002241.1	GO:0016286; GO:0006813; GO:0015269; GO:0005516; GO:0016021
gene:SLC6A14|protein_id:NP_009162.1	GO:0016021; GO:0005328
gene:SYT10|protein_id:NP_945343.1	GO:0016020
gene:KIF1B|protein_id:NP_001352880.1	GO:0005524; GO:0005515; GO:0008017; GO:0003777; GO:0007018
