Feature	GO
gene:Gsk3|protein_id:NP_001266212.1	GO:0004672; GO:0006468; GO:0005524
gene:LOC105313738|protein_id:XP_019855394.1	GO:0005044; GO:0016020
gene:LOC109586960|protein_id:XP_019858728.1	GO:0005515
gene:LOC100631780|protein_id:XP_003385674.1	GO:0005840; GO:0006412; GO:0003735; GO:0015934; GO:0003723
gene:LOC105314873|protein_id:XP_019859672.1	GO:0008270; GO:0005515
gene:LOC105316653|protein_id:XP_011410020.1	GO:0008237; GO:0004222; GO:0008270; GO:0006508
gene:LOC109591879|protein_id:XP_019863044.1	GO:0005515
gene:LOC100638754|protein_id:XP_011404912.2	GO:0005524; GO:0006468; GO:0004672
gene:LOC100634842|protein_id:XP_003382859.1	GO:0005515
gene:LOC100633883|protein_id:XP_003384351.1	GO:0016491
gene:LOC109585816|protein_id:XP_019857515.1	GO:0004375; GO:0055114; GO:0006546
gene:LOC109581922|protein_id:XP_019851985.1	GO:0016021
gene:LOC100637115|protein_id:XP_019864481.1	GO:0042176; GO:0005515; GO:0000502; GO:0030234
gene:LOC100636105|protein_id:XP_019862037.1	GO:0038166
gene:LOC100635378|protein_id:XP_011410277.2	GO:0004672; GO:0004713; GO:0005524; GO:0006468
gene:LOC100640189|protein_id:XP_003383119.1	GO:0004488; GO:0003824; GO:0055114
gene:LOC100637834|protein_id:XP_019851836.1	GO:0006351; GO:0046983; GO:0003899
gene:LOC100638596|protein_id:XP_003386825.1	GO:0005525; GO:0003924
gene:LOC100639902|protein_id:XP_019850212.1	GO:0008017; GO:0005515
gene:LOC100638559|protein_id:XP_019854919.1	GO:0005524; GO:0003676
gene:LOC109590067|protein_id:XP_019861570.1	GO:0016020; GO:0055085
gene:LOC109583908|protein_id:XP_019854978.1	GO:0007165; GO:0005515
gene:LOC105311848|protein_id:XP_019859436.1	GO:0004674; GO:0005524; GO:0006468
gene:LOC105315114|protein_id:XP_011407934.1	GO:0010468; GO:0016021
gene:LOC105313320|protein_id:XP_011404950.1	GO:0004672; GO:0005515; GO:0005524; GO:0006468
gene:LOC100639441|protein_id:XP_019850622.1	GO:0003676
gene:LOC100639858|protein_id:XP_003386044.1	GO:0005515
gene:LOC109581792|protein_id:XP_019851759.1	GO:0008270
gene:LOC105314157|protein_id:XP_011406450.2	GO:0008237; GO:0004222
gene:LOC100637543|protein_id:XP_003386264.1	GO:0008168; GO:0032259; GO:0016279; GO:0003676
gene:LOC100633686|protein_id:XP_003387873.2	GO:0005737; GO:0005515; GO:0005852; GO:0003743
gene:LOC100634430|protein_id:XP_003384920.1	GO:0005730; GO:0008168
gene:LOC100638372|protein_id:XP_003382887.1	GO:0006888; GO:0006886; GO:0030127
gene:LOC100635380|protein_id:XP_003383096.1	GO:0005965; GO:0018343; GO:0003824
gene:LOC109588961|protein_id:XP_019860626.1	GO:0008270; GO:0003677
gene:LOC100636287|protein_id:XP_019853845.1	GO:0002098; GO:0033588
gene:LOC105316063|protein_id:XP_011409165.1	GO:0005515
gene:LOC109586578|protein_id:XP_019858341.1	GO:0007165; GO:0005515
gene:LOC100639085|protein_id:XP_019862581.1	GO:0004484; GO:0006370; GO:0008138; GO:0004651; GO:0016791; GO:0004725; GO:0016311; GO:0005634
gene:LOC109589920|protein_id:XP_019861461.1	GO:0006468; GO:0004672; GO:0004843; GO:0005524
gene:LOC105313993|protein_id:XP_019856373.1	GO:0003677
gene:LOC100639976|protein_id:XP_003384083.1	GO:0006355; GO:0005634
gene:LOC109586350|protein_id:XP_019858088.1	GO:0004843; GO:0006511
gene:LOC105314595|protein_id:XP_019858641.1	GO:0005887; GO:0055085
gene:LOC100632049|protein_id:XP_003389663.1	GO:0016787
gene:LOC100633002|protein_id:XP_019851160.1	GO:0055114; GO:0010181; GO:0008033; GO:0051539; GO:0003824; GO:0051536
gene:LOC105316929|protein_id:XP_011410537.1	GO:0008083
gene:LOC109584996|protein_id:XP_019856472.1	GO:0005515
gene:LOC100635826|protein_id:XP_003388196.1	GO:0030688; GO:0006364
gene:LOC105315786|protein_id:XP_019862768.1	GO:0000166; GO:0005524; GO:0006418; GO:0004812
gene:LOC109587093|protein_id:XP_019858873.1	GO:0046872
gene:LOC100635233|protein_id:XP_019853299.1	GO:0005515
